4.70E-01,5.90E-01,4.80E-01,5.00E-01,5.20E-01,7.60E-01,7.90E-01,0
2.90E-01,4.10E-01,4.80E-01,5.00E-01,4.80E-01,3.80E-01,4.60E-01,1
3.40E-01,4.50E-01,4.80E-01,5.00E-01,3.80E-01,2.40E-01,3.50E-01,0
7.50E-01,5.50E-01,1.00E+00,1.00E+00,4.00E-01,4.70E-01,3.00E-01,0
5.90E-01,5.60E-01,4.80E-01,5.00E-01,5.50E-01,8.00E-01,8.20E-01,1
6.30E-01,5.10E-01,4.80E-01,5.00E-01,6.40E-01,7.20E-01,7.60E-01,0
4.90E-01,4.20E-01,4.80E-01,5.00E-01,5.30E-01,7.90E-01,8.10E-01,0
5.20E-01,3.60E-01,4.80E-01,5.00E-01,4.10E-01,2.80E-01,3.80E-01,0
4.20E-01,3.00E-01,4.80E-01,5.00E-01,4.80E-01,2.60E-01,3.60E-01,0
6.80E-01,4.90E-01,1.00E+00,5.00E-01,6.20E-01,5.50E-01,2.80E-01,0
2.40E-01,3.40E-01,4.80E-01,5.00E-01,3.80E-01,3.00E-01,4.00E-01,1
5.10E-01,3.70E-01,4.80E-01,5.00E-01,3.50E-01,3.60E-01,4.50E-01,1
3.20E-01,4.20E-01,4.80E-01,5.00E-01,3.50E-01,2.80E-01,3.80E-01,1
2.30E-01,5.80E-01,4.80E-01,5.00E-01,3.70E-01,5.30E-01,5.90E-01,1
2.40E-01,4.30E-01,4.80E-01,5.00E-01,5.40E-01,5.20E-01,5.90E-01,0
5.40E-01,4.70E-01,4.80E-01,5.00E-01,2.80E-01,3.30E-01,4.20E-01,1
3.50E-01,4.80E-01,4.80E-01,5.00E-01,5.60E-01,4.00E-01,4.80E-01,1
8.30E-01,4.80E-01,4.80E-01,5.00E-01,6.50E-01,7.60E-01,7.90E-01,1
5.20E-01,3.90E-01,4.80E-01,5.00E-01,6.50E-01,7.10E-01,7.30E-01,0
3.70E-01,5.20E-01,4.80E-01,5.00E-01,4.20E-01,4.20E-01,3.60E-01,1
4.10E-01,4.80E-01,4.80E-01,5.00E-01,5.10E-01,4.40E-01,5.10E-01,1
2.10E-01,5.10E-01,4.80E-01,5.00E-01,5.00E-01,3.20E-01,4.10E-01,1
6.30E-01,7.10E-01,4.80E-01,5.00E-01,6.00E-01,4.00E-01,3.90E-01,0
7.40E-01,7.40E-01,4.80E-01,5.00E-01,3.10E-01,5.30E-01,5.20E-01,1
6.70E-01,8.10E-01,4.80E-01,5.00E-01,5.40E-01,4.90E-01,2.30E-01,1
8.50E-01,5.30E-01,4.80E-01,5.00E-01,5.30E-01,5.20E-01,3.50E-01,0
7.40E-01,4.90E-01,4.80E-01,5.00E-01,4.20E-01,5.40E-01,3.60E-01,0
5.90E-01,2.90E-01,4.80E-01,5.00E-01,6.40E-01,7.50E-01,7.70E-01,1
2.70E-01,4.20E-01,4.80E-01,5.00E-01,3.70E-01,3.80E-01,4.30E-01,0
4.00E-01,4.10E-01,4.80E-01,5.00E-01,5.50E-01,2.20E-01,3.30E-01,1
7.40E-01,4.40E-01,4.80E-01,5.00E-01,5.50E-01,8.80E-01,8.90E-01,0
3.80E-01,2.60E-01,4.80E-01,5.00E-01,5.40E-01,1.60E-01,2.80E-01,0
6.40E-01,5.80E-01,4.80E-01,5.00E-01,4.80E-01,7.80E-01,7.30E-01,1
2.90E-01,4.70E-01,4.80E-01,5.00E-01,4.10E-01,2.30E-01,3.40E-01,0
6.30E-01,8.00E-01,4.80E-01,5.00E-01,4.60E-01,3.10E-01,2.90E-01,1
2.40E-01,4.10E-01,4.80E-01,5.00E-01,4.90E-01,2.30E-01,3.40E-01,0
4.40E-01,5.60E-01,4.80E-01,5.00E-01,5.00E-01,4.60E-01,5.40E-01,1
4.70E-01,2.90E-01,4.80E-01,5.00E-01,5.10E-01,3.30E-01,4.30E-01,1
5.60E-01,5.40E-01,4.80E-01,5.00E-01,4.30E-01,3.70E-01,3.00E-01,0
2.70E-01,3.00E-01,4.80E-01,5.00E-01,7.10E-01,2.80E-01,3.90E-01,0
3.70E-01,4.70E-01,4.80E-01,5.00E-01,3.90E-01,7.60E-01,7.90E-01,0
3.30E-01,4.70E-01,4.80E-01,5.00E-01,5.30E-01,1.80E-01,2.90E-01,0
7.70E-01,5.70E-01,1.00E+00,5.00E-01,3.70E-01,5.40E-01,1.00E-02,0
6.50E-01,5.10E-01,4.80E-01,5.00E-01,6.60E-01,5.40E-01,3.30E-01,1
5.00E-01,6.60E-01,4.80E-01,5.00E-01,3.10E-01,9.20E-01,9.20E-01,0
7.30E-01,2.60E-01,4.80E-01,5.00E-01,5.70E-01,7.50E-01,7.80E-01,1
1.70E-01,5.20E-01,4.80E-01,5.00E-01,4.90E-01,3.70E-01,4.60E-01,1
6.70E-01,7.00E-01,4.80E-01,5.00E-01,4.60E-01,4.50E-01,3.30E-01,0
6.00E-01,6.10E-01,4.80E-01,5.00E-01,5.40E-01,6.70E-01,7.10E-01,1
2.00E-01,4.40E-01,4.80E-01,5.00E-01,4.60E-01,5.10E-01,5.70E-01,0
2.10E-01,3.40E-01,4.80E-01,5.00E-01,5.10E-01,2.80E-01,3.90E-01,1
5.20E-01,5.70E-01,4.80E-01,5.00E-01,4.20E-01,4.70E-01,5.40E-01,1
7.20E-01,4.20E-01,4.80E-01,5.00E-01,6.50E-01,7.70E-01,7.90E-01,1
3.00E-01,1.60E-01,4.80E-01,5.00E-01,5.60E-01,1.10E-01,2.30E-01,0
7.00E-01,6.10E-01,4.80E-01,5.00E-01,5.60E-01,5.20E-01,4.30E-01,1
4.00E-01,3.50E-01,4.80E-01,5.00E-01,4.50E-01,3.30E-01,4.20E-01,1
6.50E-01,5.50E-01,4.80E-01,5.00E-01,3.40E-01,3.70E-01,2.80E-01,1
5.10E-01,5.40E-01,4.80E-01,5.00E-01,4.10E-01,3.40E-01,4.30E-01,0
2.40E-01,5.70E-01,4.80E-01,5.00E-01,6.30E-01,3.40E-01,4.30E-01,1
7.10E-01,7.10E-01,4.80E-01,5.00E-01,6.80E-01,4.30E-01,3.60E-01,0
2.50E-01,3.70E-01,4.80E-01,5.00E-01,4.10E-01,3.30E-01,4.20E-01,0
6.30E-01,7.50E-01,4.80E-01,5.00E-01,6.40E-01,7.30E-01,6.60E-01,0
3.40E-01,5.10E-01,4.80E-01,5.00E-01,4.40E-01,3.70E-01,4.60E-01,0
7.90E-01,5.40E-01,4.80E-01,5.00E-01,5.00E-01,6.60E-01,6.80E-01,0
5.10E-01,5.00E-01,4.80E-01,5.00E-01,4.60E-01,3.20E-01,3.50E-01,0
4.00E-01,4.60E-01,4.80E-01,5.00E-01,4.20E-01,3.50E-01,4.40E-01,1
2.30E-01,4.00E-01,4.80E-01,5.00E-01,3.90E-01,2.80E-01,3.80E-01,1